Day,starthour,startmin,length,type,text
1,9,0,30,Lecture,Intro + Types
2,9,0,30,Exercise,Review
3,9,0,20,Exercise,Review
1,9,30,30,Exercise,ex 1
2,9,30,30,Lecture,Review answers
3,9,20,20,Lecture,Review answers
1,10,15,45,Lecture,Operations
2,10,0,15,break,
3,9,40,30,Exercise,IMDb + sets
1,11,0,30,Exercise,ex 2
2,10,15,25,Lecture,Pseudocode
3,10,10,10,break,
1,11,30,10,break,
2,10,40,50,Exercise,ex 1
3,10,20,20,Lecture,Dictionaries
1,11,40,20,Discussion,Discussions
2,11,30,10,break,
3,10,40,50,Exercise,IMDb
1,12,0,60,Lunch,LUNCH
2,11,40,20,Discussion,Discussions
3,11,40,20,Discussion,Discussions
1,13,0,30,Lecture,Loops
2,12,0,60,Lunch,LUNCH
3,12,0,60,Lunch,LUNCH
1,13,30,20,Exercise,ex 3
2,13,0,30,Lecture,Functions/Methods
3,13,0,30,Lecture,Functions
1,13,50,10,break,
2,13,30,40,Exercise,ex 2
3,13,30,30,Exercise,ex 1
1,14,0,45,Lecture,if/else + files
2,14,10,10,break,
3,14,0,10,break,
1,14,45,40,Exercise,ex 4
2,14,20,30,Exercise,IMDb
3,14,10,20,Lecture,sys.argv
1,15,25,20,Discussion,Discussions
2,14,45,15,Discussion,Discussions
3,14,30,30,Exercise,IMDb
1,15,45,15,break,
2,15,0,120,Project,Project
3,15,0,120,Project,Project
1,16,0,60,Project,Project
4,9,0,20,Lecture,Review
4,9,20,20,Exercise,Review exercises
4,9,40,20,Lecture,IMDb solution
4,10,15,45,Lecture,Keyword args and flow
4,11,00,30,Exercise,ex 1
4,11,40,20,Discussion,Discussions
4,12,0,60,Lunch,LUNCH
4,13,00,20,Lecture,Modules and documentation
4,13,20,20,Exercise,ex 2
4,13,50,40,Lecture,Pandas and plotting
4,14,30,30,Exercise,Pandas exercise
4,15,0,120,Project,Project
5,9,0,10,Lecture,Review
5,9,10,10,Exercise,Review answers
5,9,20,30,Lecture,Recap & Intro to regex
5,9,50,10,break,
5,10,0,30,Exercise,ex 1
5,10,30,40,Lecture,Regex in Python
5,11,10,30,Exercise,ex 2
5,11,40,20,Discussion,Discussions
5,12,0,60,Lunch,LUNCH
5,13,0,40,Lecture,Sum up
5,13,40,10,break,
5,13,50,30,Exercise, Quiz
5,14,20,20,Lecture, Review Quiz
5,14,40,20,Discussion,Discussions
5,15,0,120,Project,Project